county,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Total,Year
Alameda,724440.0,805801.0,798844.0,733191.0,3062276,1990
Amador,11438.0,13853.0,15138.0,12522.0,52951,1990
Butte,34460.0,38909.0,35016.0,30720.0,139105,1990
Calaveras,7720.0,9596.0,10581.0,8914.0,36811,1990
Colusa,3550.0,4215.0,4337.0,4157.0,16259,1990
Contra Costa,142015.0,157067.0,138661.0,122657.0,560400,1990
Del Norte,2839.0,3228.0,2869.0,2242.0,11178,1990
El Dorado,7840.0,7042.0,9614.0,9841.0,34337,1990
Fresno,152623.0,170143.0,164849.0,155657.0,643272,1990
Glenn,5340.0,5400.0,5460.0,5755.0,21955,1990
Humboldt,38004.0,44471.0,36777.0,30479.0,149731,1990
Imperial,19855.0,18958.0,20924.0,24617.0,84354,1990
Inyo,3266.0,4149.0,4946.0,2501.0,14862,1990
Kern,238377.0,238391.0,238719.0,238557.0,954044,1990
Kings,20297.0,22297.0,24318.0,23795.0,90707,1990
Lake,10441.0,13483.0,20411.0,3808.0,48143,1990
Lassen,4008.0,4979.0,3988.0,4481.0,17456,1990
Los Angeles,3097198.0,3300598.0,3322642.0,3158903.0,12879341,1990
Madera,18387.0,21810.0,20090.0,18754.0,79041,1990
Marin,118516.0,105816.0,100841.0,109365.0,434538,1990
Mariposa,2113.0,3500.0,3840.0,2330.0,11783,1990
Mendocino,10511.0,15442.0,19743.0,10656.0,56352,1990
Merced,45499.0,51194.0,48402.0,42186.0,187281,1990
Modoc,460.0,450.0,676.0,413.0,1999,1990
Mono,1869.0,50.0,1256.0,64.0,3239,1990
Monterey,102949.0,114244.0,131011.0,110063.0,458267,1990
Napa,54204.0,64182.0,60498.0,55685.0,234569,1990
Nevada,8808.0,15444.0,10271.0,8403.0,42926,1990
Orange,1029384.0,1050697.0,1037705.0,928520.0,4046306,1990
Placer,47750.0,59167.0,61470.0,51949.0,220336,1990
Plumas,2551.0,3751.0,4790.0,2862.0,13954,1990
Riverside,448605.0,487974.0,461505.0,441077.0,1839161,1990
Sacramento,262321.0,290428.0,275649.0,263885.0,1092283,1990
San Benito,4000.0,5000.0,8000.0,6000.0,23000,1990
San Bernardino,424855.0,518957.0,473503.0,426163.0,1843478,1990
San Diego,787377.0,1008978.0,1010855.0,809898.0,3617108,1990
San Joaquin,134253.0,146002.0,150569.0,143225.0,574049,1990
San Luis Obispo,85043.0,59053.0,55807.0,51361.0,251264,1990
San Mateo,206496.0,220541.0,221875.0,200713.0,849625,1990
Santa Barbara,108285.0,104011.0,144646.0,116830.0,473772,1990
Santa Clara,511131.0,485335.0,447751.0,428115.0,1872332,1990
Santa Cruz,73318.0,70854.0,72549.0,64456.0,281177,1990
Shasta,70239.0,69032.0,60275.0,44359.0,243905,1990
Sierra,488.0,666.0,913.0,605.0,2672,1990
Siskiyou,5343.0,6616.0,7231.0,7364.0,26554,1990
Solano,67836.0,70880.0,88848.0,70381.0,297945,1990
Sonoma,126768.0,145025.0,138990.0,129168.0,539951,1990
Stanislaus,36065.0,44172.0,22038.0,21674.0,123949,1990
Tehama,8429.0,7835.0,7417.0,7045.0,30726,1990
Trinity,1899.0,2312.0,2556.0,1605.0,8372,1990
Tulare,70038.0,82727.0,83917.0,77508.0,314190,1990
Tuolumne,7794.0,9338.0,8734.0,6441.0,32307,1990
Ventura,200561.0,214471.0,193447.0,166810.0,775289,1990
Yolo,56553.0,60932.0,80947.0,63184.0,261616,1990
Yuba,30988.0,30997.0,33440.0,30000.0,125425,1990
Alameda,641876.0,678486.0,677063.0,644406.0,2641831,1991
Amador,5318.0,8511.0,16384.0,9979.0,40192,1991
Butte,27346.0,24214.0,49594.0,30855.0,132009,1991
Calaveras,10264.0,13120.0,11410.0,5879.0,40673,1991
Colusa,3488.0,3911.0,4263.0,3948.0,15610,1991
Contra Costa,105714.0,116083.0,118978.0,130559.0,471334,1991
Del Norte,3004.0,2678.0,3557.0,2642.0,11881,1991
El Dorado,7484.0,8013.0,7374.0,17622.0,40493,1991
Fresno,149356.0,163284.0,163880.0,154613.0,631133,1991
Glenn,5488.0,6124.0,5574.0,4670.0,21856,1991
Humboldt,34123.0,33850.0,37581.0,32109.0,137663,1991
Imperial,25930.0,34815.0,40413.0,38617.0,139775,1991
Inyo,3934.0,6551.0,6687.0,5302.0,22474,1991
Kern,238502.0,238433.0,240896.0,239137.0,956968,1991
Kings,22653.0,25530.0,25620.0,24416.0,98219,1991
Lake,10219.0,12143.0,13870.0,10890.0,47122,1991
Lassen,9104.0,10126.0,6869.0,4716.0,30815,1991
Los Angeles,2931740.0,3101274.0,3134365.0,2680769.0,11848148,1991
Madera,18111.0,19824.0,20714.0,18388.0,77037,1991
Marin,99016.0,102190.0,76892.0,91160.0,369258,1991
Mariposa,1942.0,2888.0,3438.0,3146.0,11414,1991
Mendocino,8708.0,10949.0,12484.0,10927.0,43068,1991
Merced,38771.0,46096.0,48008.0,39782.0,172657,1991
Modoc,313.0,351.0,358.0,260.0,1282,1991
Mono,659.0,910.0,1232.0,845.0,3646,1991
Monterey,89496.0,110017.0,111763.0,104077.0,415353,1991
Napa,47422.0,60933.0,63634.0,56883.0,228872,1991
Nevada,6923.0,9182.0,9445.0,7936.0,33486,1991
Orange,816594.0,900610.0,873259.0,861849.0,3452312,1991
Placer,46741.0,56291.0,58990.0,54427.0,216449,1991
Plumas,2279.0,3899.0,4679.0,3333.0,14190,1991
Riverside,379285.0,414683.0,390661.0,366674.0,1551303,1991
Sacramento,254404.0,304248.0,265723.0,237819.0,1062194,1991
San Benito,4480.0,6154.0,7381.0,4798.0,22813,1991
San Bernardino,414222.0,483010.0,417682.0,414426.0,1729340,1991
San Diego,771092.0,863008.0,827785.0,734054.0,3195939,1991
San Joaquin,126045.0,150354.0,141985.0,134431.0,552815,1991
San Luis Obispo,47430.0,53859.0,51807.0,49391.0,202487,1991
San Mateo,192832.0,222781.0,228185.0,216513.0,860311,1991
Santa Barbara,108173.0,121230.0,120075.0,102449.0,451927,1991
Santa Clara,392878.0,450698.0,445606.0,424877.0,1714059,1991
Santa Cruz,56841.0,63285.0,56777.0,50483.0,227386,1991
Shasta,46118.0,58993.0,54893.0,45050.0,205054,1991
Sierra,488.0,666.0,913.0,605.0,2672,1991
Siskiyou,5354.0,6460.0,5852.0,4707.0,22373,1991
Solano,63878.0,72166.0,82029.0,70826.0,288899,1991
Sonoma,116951.0,117538.0,145316.0,125312.0,505117,1991
Stanislaus,25598.0,30656.0,22841.0,21262.0,100357,1991
Tehama,6711.0,6630.0,6744.0,6820.0,26905,1991
Trinity,2285.0,2981.0,3188.0,3069.0,11523,1991
Tulare,72180.0,84032.0,82340.0,75573.0,314125,1991
Tuolumne,5361.0,5994.0,6435.0,1529.0,19319,1991
Ventura,154358.0,177521.0,193610.0,172697.0,698186,1991
Yolo,54592.0,67857.0,64600.0,59478.0,246527,1991
Yuba,30060.0,30846.0,34169.0,31856.0,126931,1991
Alameda,575718.0,611953.0,616145.0,504394.0,2308210,1992
Amador,11046.0,20438.0,5922.0,5308.0,42714,1992
Butte,26374.0,34693.0,33503.0,31484.0,126054,1992
Calaveras,5777.0,6638.0,7529.0,6238.0,26182,1992
Colusa,3673.0,4404.0,4706.0,4325.0,17108,1992
Contra Costa,147461.0,133408.0,102086.0,56355.0,439310,1992
Del Norte,2433.0,2818.0,2916.0,2648.0,10815,1992
El Dorado,13511.0,18593.0,18449.0,17039.0,67592,1992
Fresno,157642.0,166906.0,162457.0,154735.0,641740,1992
Glenn,5092.0,5433.0,5781.0,5226.0,21532,1992
Humboldt,31238.0,31273.0,31678.0,30922.0,125111,1992
Imperial,37321.0,40792.0,40162.0,35292.0,153567,1992
Inyo,4390.0,5055.0,7093.0,3568.0,20106,1992
Kern,239249.0,257877.0,264142.0,228459.0,989727,1992
Kings,23463.0,24138.0,22941.0,21157.0,91699,1992
Lake,9415.0,12760.0,12724.0,9952.0,44851,1992
Lassen,8076.0,5303.0,5249.0,5128.0,23756,1992
Los Angeles,2974175.0,3274515.0,3015932.0,2823840.0,12088462,1992
Madera,18.0,22401.0,22504.0,19878.0,64801,1992
Marin,79210.0,84008.0,93041.0,89523.0,345782,1992
Mariposa,1518.0,2680.0,3025.0,1726.0,8949,1992
Mendocino,9721.0,11057.0,11270.0,8345.0,40393,1992
Merced,41581.0,46643.0,44511.0,39812.0,172547,1992
Modoc,262.0,289.0,315.0,265.0,1131,1992
Mono,934.0,1745.0,1567.0,0.0,4246,1992
Monterey,95564.0,108702.0,106893.0,97882.0,409041,1992
Napa,50973.0,59325.0,55893.0,50950.0,217141,1992
Nevada,7469.0,5426.0,6345.0,3809.0,23049,1992
Orange,815006.0,914862.0,885068.0,835234.0,3450170,1992
Placer,48699.0,57408.0,59773.0,52153.0,218033,1992
Plumas,2641.0,3411.0,4679.0,2859.0,13590,1992
Riverside,330886.0,365099.0,341218.0,358447.0,1395650,1992
Sacramento,245207.0,280631.0,268101.0,246882.0,1040821,1992
San Benito,4451.0,4165.0,6935.0,5699.0,21250,1992
San Bernardino,414725.0,481523.0,436118.0,412537.0,1744903,1992
San Diego,736516.0,841191.0,771638.0,695642.0,3044987,1992
San Joaquin,130537.0,158345.0,161429.0,145931.0,596242,1992
San Luis Obispo,46117.0,51404.0,52918.0,45774.0,196213,1992
San Mateo,199409.0,227652.0,236428.0,212719.0,876208,1992
Santa Barbara,101649.0,113437.0,112544.0,95974.0,423604,1992
Santa Clara,418956.0,457005.0,419242.0,406197.0,1701400,1992
Santa Cruz,51894.0,60334.0,56333.0,54292.0,222853,1992
Shasta,52116.0,54467.0,51301.0,46939.0,204823,1992
Sierra,488.0,666.0,913.0,607.0,2674,1992
Siskiyou,5300.0,5451.0,7167.0,4858.0,22776,1992
Solano,95805.0,96560.0,88429.0,115348.0,396142,1992
Sonoma,111105.0,131600.0,136601.0,119929.0,499235,1992
Stanislaus,17135.0,30054.0,22116.0,23032.0,92337,1992
Tehama,6723.0,6978.0,7673.0,6807.0,28181,1992
Trinity,2505.0,3057.0,3228.0,2110.0,10900,1992
Tulare,77705.0,85401.0,83136.0,77381.0,323623,1992
Tuolumne,1831.0,4186.0,3896.0,4520.0,14433,1992
Ventura,156308.0,185129.0,177672.0,162084.0,681193,1992
Yolo,48185.0,45892.0,46568.0,41473.0,182118,1992
Yuba,30405.0,33803.0,31585.0,32148.0,127941,1992
Alameda,551109.0,590210.0,576476.0,544351.0,2262146,1993
Amador,7105.0,5792.0,6841.0,5284.0,25022,1993
Butte,37574.0,44822.0,47163.0,42689.0,172248,1993
Calaveras,6507.0,6715.0,6713.0,5595.0,25530,1993
Colusa,3985.0,4280.0,4732.0,1016.0,14013,1993
Contra Costa,53793.0,78556.0,87780.0,158236.0,378365,1993
Del Norte,2446.0,2668.0,3559.0,3024.0,11697,1993
El Dorado,15183.0,18217.0,18339.0,16149.0,67888,1993
Fresno,165706.0,172511.0,164769.0,161574.0,664560,1993
Glenn,5055.0,5928.0,6040.0,5677.0,22700,1993
Humboldt,31644.0,31420.0,30821.0,24610.0,118495,1993
Imperial,37509.0,38058.0,44180.0,40049.0,159796,1993
Inyo,3013.0,2594.0,2049.0,937.0,8593,1993
Kern,191285.0,247698.0,181303.0,157913.0,778199,1993
Kings,23083.0,23635.0,24247.0,24979.0,95944,1993
Lake,6949.0,4225.0,9906.0,7906.0,28986,1993
Lassen,4748.0,5919.0,5624.0,3656.0,19947,1993
Los Angeles,2823013.0,2947837.0,2927974.0,2820548.0,11519372,1993
Madera,20104.0,21811.0,22005.0,20297.0,84217,1993
Marin,62127.0,77910.0,53492.0,54375.0,247904,1993
Mariposa,2614.0,3332.0,3646.0,2498.0,12090,1993
Mendocino,8574.0,9559.0,10825.0,10069.0,39027,1993
Merced,42660.0,47496.0,48090.0,43383.0,181629,1993
Modoc,253.0,322.0,376.0,426.0,1377,1993
Mono,445.0,639.0,1142.0,1962.0,4188,1993
Monterey,90838.0,108730.0,109902.0,105038.0,414508,1993
Napa,47984.0,54667.0,55584.0,49985.0,208220,1993
Orange,809343.0,850012.0,854577.0,812009.0,3325941,1993
Placer,48998.0,58801.0,61232.0,54510.0,223541,1993
Plumas,2667.0,4442.0,4852.0,3237.0,15198,1993
Riverside,354454.0,400823.0,382489.0,371639.0,1509405,1993
Sacramento,255232.0,264814.0,246773.0,250769.0,1017588,1993
San Benito,6012.0,6691.0,9203.0,6660.0,28566,1993
San Bernardino,395188.0,432596.0,418874.0,397693.0,1644351,1993
San Diego,709084.0,739491.0,714120.0,656143.0,2818838,1993
San Joaquin,147016.0,162457.0,164757.0,152866.0,627096,1993
San Luis Obispo,45809.0,51056.0,51234.0,47559.0,195658,1993
San Mateo,203657.0,228326.0,231785.0,215007.0,878775,1993
Santa Barbara,64840.0,118086.0,118447.0,105964.0,407337,1993
Santa Clara,389491.0,427491.0,397705.0,366150.0,1580837,1993
Santa Cruz,52184.0,63256.0,59131.0,52016.0,226587,1993
