Material Category,Material Type,Business Group,Tons Disposed,Tons Generated,Percent of Total Generation
Paper,Other Miscellaneous Paper - Compostable,"Arts, Entertainment, & Recreation",84.16732421567379,113.30468918865118,0.004579459759612858
Paper,Remainder / Composite Paper - Compostable,"Arts, Entertainment, & Recreation",1970.6820309109992,2009.6765215639984,0.08122552408239506
Other Organic,Food,"Arts, Entertainment, & Recreation",7008.399832288003,7603.351658523901,0.30730628368277146
Other Organic,Leaves and Grass,"Arts, Entertainment, & Recreation",1207.683583406032,1756.8844796496176,0.07100837427344234
Other Organic,Prunings and Trimmings,"Arts, Entertainment, & Recreation",545.0370532347906,1226.4216503077726,0.049568545098352214
Other Organic,Branches and Stumps,"Arts, Entertainment, & Recreation",691.4424748047045,1129.7819226996353,0.045662636640984154
Other Organic,Manures,"Arts, Entertainment, & Recreation",13.218544594322388,13.218544594322388,0.0005342567327426254
Inerts and Other,Clean Dimensional Lumber,"Arts, Entertainment, & Recreation",129.52831076684595,129.52831076684595,0.005235173328967686
Inerts and Other,Clean Engineered Wood,"Arts, Entertainment, & Recreation",61.787879929903895,61.787879929903895,0.002497293905459362
Inerts and Other,Clean Pallets & Crates,"Arts, Entertainment, & Recreation",54.35386620501224,54.35386620501224,0.002196831789113334
Paper,Uncoated Corrugated Cardboard,"Arts, Entertainment, & Recreation",408.38129992438576,1074.4515535480305,0.04342633732425933
Paper,Paper Bags,"Arts, Entertainment, & Recreation",68.55140759836524,70.98050482617603,0.0028688341841463455
Paper,Newspaper,"Arts, Entertainment, & Recreation",335.1617015851023,343.30146456818454,0.013875288425076309
Paper,White Ledger Paper,"Arts, Entertainment, & Recreation",130.43341362255597,156.44218850357845,0.006322957258768642
Paper,Other Office Paper,"Arts, Entertainment, & Recreation",172.851920235108,205.41714027162448,0.008302388317242535
Paper,Magazines and Catalogs,"Arts, Entertainment, & Recreation",105.77784197345501,132.4030761626642,0.0053513633343659425
Paper,Phone Books and Directories,"Arts, Entertainment, & Recreation",3.2553132209898537,3.2553132209898537,0.0001315706879142291
Paper,Other Miscellaneous Paper - Other,"Arts, Entertainment, & Recreation",585.3588586969158,618.0817377440179,0.024981141260955193
Glass,Clear Glass Bottles and Containers,"Arts, Entertainment, & Recreation",253.87798371624135,327.72279401938675,0.013245641978866992
Glass,Green Glass Bottles and Containers,"Arts, Entertainment, & Recreation",200.7633967685756,326.7022941554809,0.01320439621847603
Glass,Brown Glass Bottles and Containers,"Arts, Entertainment, & Recreation",182.5288452280623,343.406524225817,0.013879534643639122
Glass,Other Glass Colored Bottles and Containers,"Arts, Entertainment, & Recreation",1.5783336829041668,1.5783336829041668,6.379184868568665e-05
Metal,Tin/Steel Cans,"Arts, Entertainment, & Recreation",136.43548467831067,165.0603199366745,0.006671278112773253
Metal,Aluminum Cans,"Arts, Entertainment, & Recreation",60.48444597789655,72.49528089157269,0.0029300572110659015
Plastic,PETE Plastic Containers,"Arts, Entertainment, & Recreation",160.00319898715344,201.78376620234326,0.00815553746348669
Plastic,HDPE Plastic Containers,"Arts, Entertainment, & Recreation",57.35759876481232,72.03844699160308,0.002911593258014015
Plastic,Miscellaneous Plastic Containers,"Arts, Entertainment, & Recreation",64.93849410753597,77.67741401190975,0.0031395045893118988
Paper,Other Miscellaneous Paper - Compostable,Durable Wholesale & Trucking,106.2387091166068,157.4697790653392,0.0015017882288941515
Paper,Remainder / Composite Paper - Compostable,Durable Wholesale & Trucking,1332.5154026127043,1527.1873246727666,0.014564775292904049
Other Organic,Food,Durable Wholesale & Trucking,2061.261491955181,2092.802016844219,0.019959038826100596
Other Organic,Leaves and Grass,Durable Wholesale & Trucking,385.2606312916552,385.2606312916552,0.0036742280618179217
Other Organic,Prunings and Trimmings,Durable Wholesale & Trucking,149.56863210620435,7377.546450953807,0.07035961111982643
Other Organic,Branches and Stumps,Durable Wholesale & Trucking,140.24782522114643,140.24782522114643,0.0013375425703602978
Other Organic,Manures,Durable Wholesale & Trucking,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Durable Wholesale & Trucking,947.0386018399087,947.0386018399087,0.009031900806575798
Inerts and Other,Clean Engineered Wood,Durable Wholesale & Trucking,468.88503094846544,468.88503094846544,0.004471753401590121
Inerts and Other,Clean Pallets & Crates,Durable Wholesale & Trucking,2749.1278192998934,3362.167000044837,0.03206496417416448
Paper,Uncoated Corrugated Cardboard,Durable Wholesale & Trucking,989.5350796829259,21911.85979239163,0.20897326016910617
Paper,Paper Bags,Durable Wholesale & Trucking,85.39929812672224,154.86321325990713,0.0014769294282552577
Paper,Newspaper,Durable Wholesale & Trucking,212.87045825350134,264.51247723542446,0.0025226537248329056
Paper,White Ledger Paper,Durable Wholesale & Trucking,391.4580584263533,860.0606435930819,0.008202392600978253
Paper,Other Office Paper,Durable Wholesale & Trucking,346.7352812829253,884.9333241180552,0.00843960318865521
Paper,Magazines and Catalogs,Durable Wholesale & Trucking,111.51602591078851,244.12419603541719,0.0023282108235010246
Paper,Phone Books and Directories,Durable Wholesale & Trucking,14.652757858925735,32.77241455670957,0.00031255029825935036
Paper,Other Miscellaneous Paper - Other,Durable Wholesale & Trucking,812.6445764626645,932.7098277789478,0.008895247384268614
Glass,Clear Glass Bottles and Containers,Durable Wholesale & Trucking,45.22832202581035,66.97384040664481,0.0006387290676568525
Glass,Green Glass Bottles and Containers,Durable Wholesale & Trucking,5.40550583548444,16.304781664969333,0.00015549859359985496
Glass,Brown Glass Bottles and Containers,Durable Wholesale & Trucking,34.42742702360699,37.462808143627086,0.00035728255050179855
Glass,Other Glass Colored Bottles and Containers,Durable Wholesale & Trucking,0.0,0.0,0.0
Metal,Tin/Steel Cans,Durable Wholesale & Trucking,22.96470362083489,64.69378556747677,0.0006169841999176597
Metal,Aluminum Cans,Durable Wholesale & Trucking,18.94766452691229,31.58692429133729,0.000301244285533785
Plastic,PETE Plastic Containers,Durable Wholesale & Trucking,45.16035034774507,120.33414974337515,0.0011476259806245236
Plastic,HDPE Plastic Containers,Durable Wholesale & Trucking,33.036444809425646,67.33312964990466,0.0006421556067648553
Plastic,Miscellaneous Plastic Containers,Durable Wholesale & Trucking,59.47046447948698,72.50372820747508,0.0006914675705980828
Paper,Other Miscellaneous Paper - Compostable,Education,86.85703450863794,316.8565605036285,0.01126527904933197
Paper,Remainder / Composite Paper - Compostable,Education,3060.268701232428,3080.0524897581913,0.10950586198551628
Other Organic,Food,Education,8104.272071253267,8450.560295187475,0.30044484386619447
Other Organic,Leaves and Grass,Education,943.2437196793801,1022.1772496456549,0.03634171858974372
Other Organic,Prunings and Trimmings,Education,70.9481422357901,222.54142975683334,0.007912070061807441
Other Organic,Branches and Stumps,Education,276.39754799169583,276.39754799169583,0.009826829849217915
Other Organic,Manures,Education,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Education,23.92807675183736,23.92807675183736,0.0008507207844926221
Inerts and Other,Clean Engineered Wood,Education,29.391968293595394,29.391968293595394,0.0010449798612665242
Inerts and Other,Clean Pallets & Crates,Education,102.30665886809189,102.30665886809189,0.0036373337478700254
Paper,Uncoated Corrugated Cardboard,Education,295.9049897524667,1155.87299143088,0.04109503610516485
Paper,Paper Bags,Education,76.68488722052331,91.28922134719322,0.0032456280881095656
Paper,Newspaper,Education,295.6420139111345,358.63621509256006,0.012750681361283241
Paper,White Ledger Paper,Education,848.6878468722821,1538.217642178082,0.05468862929711418
Paper,Other Office Paper,Education,887.0234754075858,1182.133024239806,0.04202866549559617
Paper,Magazines and Catalogs,Education,254.87879209578696,447.6239998121377,0.015914485908219367
Paper,Phone Books and Directories,Education,0.0,13.31753020934169,0.0004734814195347063
Paper,Other Miscellaneous Paper - Other,Education,968.8592214270359,1175.754664055258,0.04180189409076278
Glass,Clear Glass Bottles and Containers,Education,85.13201002969754,91.44643512599421,0.003251217548166123
Glass,Green Glass Bottles and Containers,Education,5.704958302538933,10.03932555686502,0.00035693060508330365
Glass,Brown Glass Bottles and Containers,Education,0.0,0.06887319226408278,2.448665505426073e-06
Glass,Other Glass Colored Bottles and Containers,Education,0.0,0.0,0.0
Metal,Tin/Steel Cans,Education,101.65804109259773,140.12548060998188,0.004981915597657715
Metal,Aluminum Cans,Education,39.42441286737366,114.72740771030419,0.004078931679397109
Plastic,PETE Plastic Containers,Education,175.27737366944055,400.85767802331594,0.01425179139362718
Plastic,HDPE Plastic Containers,Education,64.52986125255225,74.56372676196794,0.002650982474835303
Plastic,Miscellaneous Plastic Containers,Education,85.57486507443006,104.8749457988916,0.0037286446833552315
Paper,Other Miscellaneous Paper - Compostable,Hotels & Lodging,54.803595456861736,65.70064320870087,0.007709483249504129
