Material Category,Material Type,Jurisdiction,Single Family Tons,Regional Single Family Composition,Multi Family Tons,Statewide Multi Family Composition,Total Residential Tons,Total Residential Composition
Paper,Uncoated Corrugated Cardboard,Alameda (Countywide),1917,0.00668822325232775,4231,0.0356791218393351,6147,0.015173351858237503
Paper,Paper Bags,Alameda (Countywide),898,0.00313245899159654,625,0.00527466562364938,1523,0.0037594453790259857
Paper,Newspaper,Alameda (Countywide),2078,0.00724980824271308,5506,0.0464310841690457,7583,0.018717481939711338
Paper,White Ledger Paper,Alameda (Countywide),531,0.00185407707880985,627,0.0052869012166633,1158,0.002858804621274225
Paper,Other Office Paper,Alameda (Countywide),1368,0.00477488343583905,698,0.005887949186271,2067,0.0051006582996606644
Paper,Magazines and Catalogs,Alameda (Countywide),1806,0.00630160443985142,887,0.00747804221265661,2693,0.006645927185458753
Paper,Phone Books and Directories,Alameda (Countywide),94,0.000327356074797477,36,0.000306365386920027,130,0.0003212124678433106
Paper,Other Miscellaneous Paper - Compostable,Alameda (Countywide),401,0.00139972942327197,351,0.00295972626349685,752,0.0018563131947061263
Paper,Other Miscellaneous Paper - Other,Alameda (Countywide),8283,0.0289032837765151,5596,0.0471909615637325,13879,0.034255766986453336
Paper,Remainder / Composite Paper - Compostable,Alameda (Countywide),31121,0.108597555778935,8027,0.0676951863054057,39148,0.0966261481239521
Paper,Remainder / Composite Paper - Other,Alameda (Countywide),2540,0.00886231911460341,1295,0.0109194056132361,3834,0.009464392328788002
Glass,Clear Glass Bottles and Containers,Alameda (Countywide),2835,0.00989123312211341,1947,0.0164193762236836,4782,0.01180190634972528
Glass,Green Glass Bottles and Containers,Alameda (Countywide),790,0.00275712831963047,176,0.00148785037811019,967,0.002385632881566654
Glass,Brown Glass Bottles and Containers,Alameda (Countywide),1127,0.00393109493269729,809,0.00682128720880721,1935,0.004777003626593047
Glass,Other Glass Colored Bottles and Containers,Alameda (Countywide),0,0.0,73,0.000619255891282891,73,0.00018124536090983592
Glass,Flat Glass,Alameda (Countywide),61,0.000214474669694898,69,0.000579854656700671,130,0.00032141499686223383
Glass,Remainder / Composite Glass,Alameda (Countywide),543,0.00189640760572331,472,0.00398097723909204,1016,0.0025065246524241277
Metal,Tin/Steel Cans,Alameda (Countywide),2089,0.00728931673449898,1102,0.00929533537355549,3191,0.007876443279996087
Metal,Major Appliances,Alameda (Countywide),0,0.0,1,1.0932797618282e-05,1,3.199838512597226e-06
Metal,Used Oil Filters,Alameda (Countywide),0,0.0,0,0.0,0,0.0
Metal,Other Ferrous,Alameda (Countywide),1354,0.0047240868035429,897,0.00756548567504157,2251,0.0055557145219109726
Metal,Aluminum Cans,Alameda (Countywide),470,0.00163960240911495,270,0.00227739446282066,740,0.0018262729803384858
Metal,Other Non-Ferrous,Alameda (Countywide),971,0.00338926418820491,912,0.00768714263469483,1883,0.004647177986274565
Metal,Remainder / Composite Metal,Alameda (Countywide),1613,0.00562713804436352,1011,0.00852379656968097,2623,0.006474939296227395
Electronics,Brown Goods,Alameda (Countywide),0,0.0,538,0.00453436039488614,538,0.0013271279253619114
Electronics,Computer-related Electronics,Alameda (Countywide),163,0.00057005109576802,239,0.00201706805339667,403,0.000993567632986151
Electronics,Other Small Consumer Electronics,Alameda (Countywide),479,0.00167064479551816,310,0.00261664724282099,789,0.0019475231545238126
Electronics,Video Display Devices,Alameda (Countywide),2061,0.00719054550503423,775,0.00653254413252071,2835,0.0069979600199073745
