SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
01-AA-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-AC-0029,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Alameda
01-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-CR-0031,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
03-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Amador
03-CR-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Amador
03-CR-0023,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Amador
04-AA-0009,Nonhazardous Ash Disposal/Monofill Facility,Closed,Disposal,Solid Waste Facility,Butte
04-AA-0009,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Butte
04-AA-0017,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Butte
04-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Butte
05-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Calaveras
06-AA-0001,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Colusa
06-CR-0009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
07-AA-0003,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Contra Costa
07-AA-0044,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Contra Costa
07-AA-0044,Large Volume Transfer/Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,Contra Costa
08-AA-0001,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Del Norte
09-AA-0002,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,El Dorado
09-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,El Dorado
09-CR-0015,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,El Dorado
09-CR-0022,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,El Dorado
10-AA-0011,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Fresno
10-CR-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0032,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0043,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0050,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0057,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0061,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0071,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
11-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Glenn
11-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Glenn
12-AA-0008,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
12-AA-0017,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Humboldt
12-AA-0086,Wood Waste Disposal Site,Inactive,Disposal,Solid Waste Facility,Humboldt
12-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0015,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0022,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0040,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0047,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
13-AA-0010,Solid Waste Landfill,Inactive,Disposal,Solid Waste Facility,Imperial
13-AA-0020,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Imperial
13-AA-0075,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Imperial
14-AA-0004,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Inyo
14-AA-0020,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
14-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
14-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
15-AA-0049,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Kern
